RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30
394428,271,"Burlington, NC",Msa,NC,48.0,38.0,30.0,26.0,19.0,20.0,18.0,19.0,21.0,24.0,32.0,26.0,23.0,13.0,13.0,12.0,11.0,11.0,12.0,15.0,17.0,17.0,18.0,17.0,15.0,12.0,10.0,8.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,7.0,6.0,4.0,4.0,4.0
394814,272,"Madera, CA",Msa,CA,29.0,24.0,22.0,29.0,33.0,39.0,40.0,42.0,44.0,51.0,55.0,51.0,44.0,34.0,33.0,27.0,29.0,29.0,28.0,28.0,33.0,42.0,46.0,43.0,35.0,33.0,32.0,35.0,31.0,26.0,21.0,16.0,15.0,16.0,16.0,15.0,12.0,11.0,10.0,10.0,11.0,12.0,16.0,17.0,16.0,18.0,18.0,19.0,14.0,11.0,10.0,12.0
394723,273,"Jefferson City, MO",Msa,MO,38.0,30.0,22.0,23.0,20.0,22.0,24.0,28.0,35.0,41.0,52.0,54.0,46.0,31.0,22.0,21.0,25.0,24.0,25.0,22.0,25.0,34.0,43.0,41.0,32.0,27.0,25.0,20.0,20.0,20.0,20.0,16.0,19.0,21.0,30.0,29.0,24.0,11.0,6.0,7.0,9.0,9.0,10.0,12.0,12.0,12.0,9.0,10.0,7.0,6.0,5.0,5.0
394453,274,"Chambersburg, PA",Msa,PA,48.0,39.0,37.0,37.0,39.0,39.0,39.0,41.0,47.0,48.0,56.0,56.0,56.0,44.0,35.0,32.0,30.0,28.0,31.0,31.0,40.0,45.0,54.0,50.0,37.0,31.0,27.0,26.0,18.0,14.0,15.0,14.0,13.0,14.0,15.0,14.0,9.0,6.0,6.0,7.0,7.0,9.0,10.0,11.0,11.0,12.0,14.0,13.0,11.0,7.0,7.0,7.0
395152,275,"Texarkana, TX",Msa,TX,,,,,,,,,,,66.0,75.0,65.0,67.0,71.0,78.0,82.0,80.0,82.0,79.0,76.0,65.0,80.0,70.0,95.0,79.0,83.0,53.0,40.0,34.0,31.0,34.0,29.0,34.0,44.0,50.0,49.0,38.0,29.0,22.0,17.0,22.0,28.0,31.0,35.0,34.0,38.0,37.0,32.0,28.0,24.0,34.0
394563,276,"Elizabethtown, KY",Msa,KY,41.0,35.0,27.0,25.0,27.0,30.0,35.0,39.0,41.0,42.0,50.0,50.0,46.0,36.0,28.0,25.0,25.0,27.0,25.0,30.0,33.0,46.0,50.0,58.0,50.0,40.0,28.0,19.0,13.0,8.0,6.0,6.0,6.0,9.0,11.0,13.0,10.0,7.0,4.0,5.0,6.0,7.0,9.0,11.0,12.0,18.0,17.0,15.0,8.0,7.0,8.0,7.0
395000,277,"Pottsville, PA",Msa,PA,53.0,33.0,25.0,21.0,21.0,26.0,36.0,40.0,41.0,37.0,45.0,50.0,50.0,39.0,28.0,25.0,25.0,25.0,27.0,31.0,40.0,48.0,55.0,61.0,50.0,48.0,39.0,37.0,26.0,17.0,19.0,17.0,16.0,14.0,19.0,19.0,15.0,10.0,7.0,7.0,9.0,11.0,12.0,12.0,12.0,12.0,15.0,14.0,13.0,9.0,8.0,9.0
395221,278,"Wheeling, OH",Msa,OH,69.0,56.0,31.0,27.0,31.0,37.0,42.0,48.0,47.0,57.0,60.0,82.0,70.0,55.0,26.0,28.0,36.0,42.0,47.0,47.0,48.0,46.0,51.0,53.0,56.0,51.0,45.0,37.0,38.0,30.0,29.0,21.0,30.0,37.0,60.0,68.0,70.0,46.0,30.0,18.0,19.0,22.0,26.0,28.0,31.0,33.0,37.0,44.0,38.0,29.0,14.0,12.0
394639,280,"Grand Junction, CO",Msa,CO,18.0,14.0,14.0,16.0,16.0,17.0,18.0,22.0,27.0,29.0,27.0,25.0,23.0,21.0,17.0,15.0,16.0,17.0,18.0,21.0,25.0,33.0,36.0,36.0,29.0,24.0,18.0,18.0,16.0,14.0,14.0,15.0,16.0,21.0,16.0,15.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,9.0,11.0,13.0,12.0,9.0,7.0,5.0,5.0,6.0
394493,281,"Concord, NH",Msa,NH,27.0,14.0,11.0,12.0,14.0,22.0,32.0,37.0,38.0,40.0,49.0,45.0,39.0,23.0,15.0,10.0,11.0,14.0,16.0,21.0,28.0,39.0,45.0,37.0,22.0,8.0,7.0,7.0,7.0,6.0,10.0,16.0,17.0,15.0,11.0,10.0,8.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0
